Datos de Termopar tipo B. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
3.898, 893.0
3.907, 894.0
3.915, 895.0
3.923, 896.0
3.932, 897.0
3.940, 898.0
3.949, 899.0
3.957, 900.0
3.965, 901.0
3.974, 902.0
3.982, 903.0
3.991, 904.0
3.999, 905.0
4.008, 906.0
4.016, 907.0
4.024, 908.0
4.033, 909.0
4.041, 910.0
4.050, 911.0
4.058, 912.0
4.067, 913.0
4.075, 914.0
4.084, 915.0
4.093, 916.0
4.101, 917.0
4.110, 918.0
4.118, 919.0
4.127, 920.0
4.135, 921.0
4.144, 922.0
4.152, 923.0
4.161, 924.0
4.170, 925.0
4.178, 926.0
4.187, 927.0
4.195, 928.0
4.204, 929.0
4.213, 930.0
4.221, 931.0
4.230, 932.0
4.239, 933.0
4.247, 934.0
4.256, 935.0
4.265, 936.0
4.273, 937.0
4.282, 938.0
4.291, 939.0
4.299, 940.0
4.308, 941.0
4.317, 942.0
4.326, 943.0
4.334, 944.0
4.343, 945.0
4.352, 946.0
4.360, 947.0
4.369, 948.0
4.378, 949.0
4.387, 950.0
4.396, 951.0
4.404, 952.0
4.413, 953.0
4.422, 954.0
4.431, 955.0
4.440, 956.0
4.448, 957.0
4.457, 958.0
4.466, 959.0
4.475, 960.0
4.484, 961.0
4.493, 962.0
4.501, 963.0
4.510, 964.0
4.519, 965.0
4.528, 966.0
4.537, 967.0
4.546, 968.0
4.555, 969.0
4.564, 970.0
4.573, 971.0
4.582, 972.0
4.591, 973.0
4.599, 974.0
4.608, 975.0
4.617, 976.0
4.626, 977.0
4.635, 978.0
4.644, 979.0
4.653, 980.0
4.662, 981.0
4.671, 982.0
4.680, 983.0
4.689, 984.0
4.698, 985.0
4.707, 986.0
4.716, 987.0
4.725, 988.0
4.734, 989.0
4.743, 990.0
4.753, 991.0
4.762, 992.0
4.771, 993.0
4.780, 994.0
4.789, 995.0
4.798, 996.0
4.807, 997.0
4.816, 998.0
4.825, 999.0
4.834, 1000.0
4.843, 1001.0
4.853, 1002.0
4.862, 1003.0
