Datos de Termopar tipo C. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
20.545, 1127.0
20.563, 1128.0
20.580, 1129.0
20.598, 1130.0
20.616, 1131.0
20.633, 1132.0
20.651, 1133.0
20.669, 1134.0
20.686, 1135.0
20.704, 1136.0
20.721, 1137.0
20.739, 1138.0
20.757, 1139.0
20.774, 1140.0
20.792, 1141.0
20.809, 1142.0
20.827, 1143.0
20.845, 1144.0
20.862, 1145.0
20.880, 1146.0
20.897, 1147.0
20.915, 1148.0
20.932, 1149.0
20.950, 1150.0
20.967, 1151.0
20.985, 1152.0
21.002, 1153.0
21.020, 1154.0
21.037, 1155.0
21.055, 1156.0
21.072, 1157.0
21.090, 1158.0
21.107, 1159.0
21.125, 1160.0
21.142, 1161.0
21.160, 1162.0
21.177, 1163.0
21.195, 1164.0
21.212, 1165.0
21.230, 1166.0
21.247, 1167.0
21.265, 1168.0
21.282, 1169.0
21.299, 1170.0
21.317, 1171.0
21.334, 1172.0
21.352, 1173.0
21.369, 1174.0
21.386, 1175.0
21.404, 1176.0
21.421, 1177.0
21.439, 1178.0
21.456, 1179.0
21.473, 1180.0
21.491, 1181.0
21.508, 1182.0
21.525, 1183.0
21.543, 1184.0
21.560, 1185.0
21.577, 1186.0
21.595, 1187.0
21.612, 1188.0
21.629, 1189.0
21.647, 1190.0
21.664, 1191.0
21.681, 1192.0
21.698, 1193.0
21.716, 1194.0
21.733, 1195.0
21.750, 1196.0
21.768, 1197.0
21.785, 1198.0
21.802, 1199.0
21.819, 1200.0
21.837, 1201.0
21.854, 1202.0
21.871, 1203.0
21.888, 1204.0
21.905, 1205.0
21.923, 1206.0
21.940, 1207.0
21.957, 1208.0
21.974, 1209.0
21.991, 1210.0
22.009, 1211.0
22.026, 1212.0
22.043, 1213.0
22.060, 1214.0
22.077, 1215.0
22.094, 1216.0
22.112, 1217.0
22.129, 1218.0
22.146, 1219.0
22.163, 1220.0
22.180, 1221.0
22.197, 1222.0
22.214, 1223.0
22.231, 1224.0
22.249, 1225.0
22.266, 1226.0
22.283, 1227.0
22.300, 1228.0
22.317, 1229.0
22.334, 1230.0
22.35, 1231.0
22.368, 1232.0
22.385, 1233.0
22.402, 1234.0
22.419, 1235.0
22.436, 1236.0
22.453, 1237.0
22.470, 1238.0
22.487, 1239.0
22.504, 1240.0
22.521, 1241.0
22.538, 1242.0
22.555, 1243.0
22.572, 1244.0
22.589, 1245.0
22.606, 1246.0
22.623, 1247.0
22.640, 1248.0
22.657, 1249.0
22.674, 1250.0
22.691, 1251.0
22.708, 1252.0
22.725, 1253.0
22.742, 1254.0
22.759, 1255.0
22.776, 1256.0
22.792, 1257.0
22.809, 1258.0
22.826, 1259.0
22.843, 1260.0
22.860, 1261.0
22.877, 1262.0
22.894, 1263.0
22.911, 1264.0
22.928, 1265.0
22.944, 1266.0
22.961, 1267.0
22.978, 1268.0
22.995, 1269.0
23.012, 1270.0
23.029, 1271.0
23.045, 1272.0
23.062, 1273.0
23.079, 1274.0
23.096, 1275.0
23.113, 1276.0
23.129, 1277.0
23.146, 1278.0
23.163, 1279.0
23.180, 1280.0
23.196, 1281.0
23.213, 1282.0
23.230, 1283.0
23.247, 1284.0
23.263, 1285.0
23.280, 1286.0
23.297, 1287.0
23.314, 1288.0
23.330, 1289.0
23.347, 1290.0
